MarkerID Clock Fk SampleID0 Chr0 SampleID1 Chr1 Shared Missing Pass SegmentLHS SegmentRHS S_LHS S_RHS Shape Rate q25 q50 q75
2 M 4 16 0 29 1 1 0.00000000 1 0 5 0 0 1 1.75040000 0.16518507 0.39211903 0.80013228 
2 R 4 16 0 29 1 1 0.00000000 1 0 5 0 0 1 1.74880004 0.16518507 0.39211903 0.80013228 
2 C 4 16 0 29 1 1 0.00000000 1 0 5 0 0 1 2.49920004 0.11439467 0.27748472 0.55411099 
2 M 4 1 1 29 1 1 0.00000000 1 0 5 0 0 1 1.75040000 0.16518507 0.39211903 0.80013228 
2 R 4 1 1 29 1 1 0.00000000 1 0 5 0 0 1 1.74880004 0.16518507 0.39211903 0.80013228 
2 C 4 1 1 29 1 1 0.00000000 1 0 5 0 0 1 2.49920004 0.11439467 0.27748472 0.55411099 
2 M 4 19 0 29 1 1 0.00000000 1 0 5 0 0 1 1.75040000 0.16518507 0.39211903 0.80013228 
2 R 4 19 0 29 1 1 0.00000000 1 0 5 0 0 1 1.74880004 0.16518507 0.39211903 0.80013228 
2 C 4 19 0 29 1 1 0.00000000 1 0 5 0 0 1 2.49920004 0.11439467 0.27748472 0.55411099 
2 M 4 16 0 19 0 1 0.00000000 1 0 5 0 0 1 1.75040000 0.16518507 0.39211903 0.80013228 
2 R 4 16 0 19 0 1 0.00000000 1 0 5 0 0 1 1.74880004 0.16518507 0.39211903 0.80013228 
2 C 4 16 0 19 0 1 0.00000000 1 0 5 0 0 1 2.49920004 0.11439467 0.27748472 0.55411099 
2 M 4 1 1 19 0 1 0.00000000 1 0 5 0 0 1 1.75040000 0.16518507 0.39211903 0.80013228 
2 R 4 1 1 19 0 1 0.00000000 1 0 5 0 0 1 1.74880004 0.16518507 0.39211903 0.80013228 
2 C 4 1 1 19 0 1 0.00000000 1 0 5 0 0 1 2.49920004 0.11439467 0.27748472 0.55411099 
2 M 4 1 1 16 0 1 0.00000000 1 0 5 0 0 1 1.75040000 0.16518507 0.39211903 0.80013228 
2 R 4 1 1 16 0 1 0.00000000 1 0 5 0 0 1 1.74880004 0.16518507 0.39211903 0.80013228 
2 C 4 1 1 16 0 1 0.00000000 1 0 5 0 0 1 2.49920004 0.11439467 0.27748472 0.55411099 
2 M 4 16 0 18 0 0 0.00000000 1 0 5 0 0 2 1.75040000 0.55411099 0.95115482 1.53019623 
2 R 4 16 0 18 0 0 0.00000000 1 0 5 0 0 1 1.74880004 0.16518507 0.39211903 0.80013228 
2 C 4 16 0 18 0 0 0.00000000 1 0 5 0 0 2 2.49920004 0.38373529 0.67308881 1.08284995 
2 M 4 16 0 4 0 0 0.00000000 1 1 3 0 0 2 1.17840000 0.81761334 1.43413024 2.30719610 
2 R 4 16 0 4 0 0 0.00000000 1 1 3 0 0 3 1.24960000 1.37346071 2.16234992 3.12241769 
2 C 4 16 0 4 0 0 0.00000000 1 1 3 0 0 4 1.42800000 1.78012448 2.57048692 3.55474185 
2 M 4 1 1 15 1 0 0.00000000 1 0 5 0 0 2 1.75040000 0.55411099 0.95115482 1.53019623 
2 R 4 1 1 15 1 0 0.00000000 1 0 5 0 0 1 1.74880004 0.16518507 0.39211903 0.80013228 
2 C 4 1 1 15 1 0 0.00000000 1 0 5 0 0 2 2.49920004 0.38373529 0.67308881 1.08284995 
2 M 4 16 0 43 1 0 0.00000000 1 0 5 0 0 2 1.75040000 0.55411099 0.95115482 1.53019623 
2 R 4 16 0 43 1 0 0.00000000 1 0 5 0 0 1 1.74880004 0.16518507 0.39211903 0.80013228 
